Date,Month,Week,Sched. day,No School,Note
"Tue 8/15/2023 ",Aug,,,FALSE,
"Mon 8/14/2023 ",Aug,,,FALSE,
"Wed 8/16/2023 ",Aug,,,FALSE,
"Thu 8/17/2023 ",Aug,,,FALSE,
"Fri 8/18/2023 ",Aug,,,FALSE,
"Sat 8/19/2023 ",Aug,,,FALSE,
"Sun 8/20/2023 ",Aug,,,FALSE,
"Mon 8/21/2023 ",Aug,,,FALSE,
"Mon 8/21/2023 ",Aug,,,FALSE,
"Tue 8/22/2023 ",Aug,,,FALSE,
"Wed 8/23/2023 ",Aug,,,FALSE,
"Thu 8/24/2023 ",Aug,,,FALSE,
"Fri 8/25/2023 ",Aug,,,FALSE,
"Sat 8/26/2023 ",Aug,,,FALSE,
"Sun 8/27/2023 ",Aug,,,FALSE,
"Mon 8/28/2023 ",Aug,,,FALSE,
"Tue 8/29/2023 ",Aug,,,FALSE,
"Wed 8/30/2023 ",Aug,,,FALSE,
"Thu 8/31/2023 ",Aug,,,FALSE,
"Fri 9/1/2023 ",Sep,,,FALSE,
"Sat 9/2/2023 ",Sep,,,FALSE,
"Sun 9/3/2023 ",Sep,,,FALSE,
"Mon 9/4/2023 ",Sep,1,,TRUE,Labor Day - School Closed
"Tue 9/5/2023 ",Sep,1,1*,FALSE,
"Wed 9/6/2023 ",Sep,1,2,FALSE,
"Thu 9/7/2023 ",Sep,1,3,FALSE,
"Fri 9/8/2023 ",Sep,1,4,FALSE,
"Sat 9/9/2023 ",Sep,,,FALSE,
"Sun 9/10/2023 ",Sep,,,FALSE,
"Mon 9/11/2023 ",Sep,2,5,FALSE,
"Tue 9/12/2023 ",Sep,2,6,FALSE,
"Wed 9/13/2023 ",Sep,2,7,FALSE,
"Thu 9/14/2023 ",Sep,2,8,FALSE,
"Fri 9/15/2023 ",Sep,2,1,FALSE,
"Sat 9/16/2023 ",Sep,,,FALSE,
"Sun 9/17/2023 ",Sep,,,FALSE,
"Mon 9/18/2023 ",Sep,3,2,FALSE,
"Tue 9/19/2023 ",Sep,3,3,FALSE,
"Wed 9/20/2023 ",Sep,3,4,FALSE,
"Thu 9/21/2023 ",Sep,3,5,FALSE,
"Fri 9/22/2023 ",Sep,3,6,FALSE,
"Sat 9/23/2023 ",Sep,,,FALSE,
"Sun 9/24/2023 ",Sep,,,FALSE,
"Mon 9/25/2023 ",Sep,4,,TRUE,Yom Kippur - School Closed
"Tue 9/26/2023 ",Sep,4,7,FALSE,
"Wed 9/27/2023 ",Sep,4,8,FALSE,
"Thu 9/28/2023 ",Sep,4,1,FALSE,
"Fri 9/29/2023 ",Sep,4,2,FALSE,
"Sat 9/30/2023 ",Sep,,,FALSE,
"Sun 10/1/2023 ",Oct,,,FALSE,
"Mon 10/2/2023 ",Oct,5,3,FALSE,
"Tue 10/3/2023 ",Oct,5,4,FALSE,
"Wed 10/4/2023 ",Oct,5,5,FALSE,
"Thu 10/5/2023 ",Oct,5,6,FALSE,
"Fri 10/6/2023 ",Oct,5,7*,FALSE,
"Sat 10/7/2023 ",Oct,,,FALSE,
"Sun 10/8/2023 ",Oct,,,FALSE,
"Mon 10/9/2023 ",Oct,6,,TRUE,Indigenous Peoples Day - School Closed
"Tue 10/10/2023 ",Oct,6,8,FALSE,
"Wed 10/11/2023 ",Oct,6,1,FALSE,
"Thu 10/12/2023 ",Oct,6,2,FALSE,
"Fri 10/13/2023 ",Oct,6,3*,FALSE,
"Sat 10/14/2023 ",Oct,,,FALSE,
"Sun 10/15/2023 ",Oct,,,FALSE,
"Mon 10/16/2023 ",Oct,7,,FALSE,Ex Ed Days
"Tue 10/17/2023 ",Oct,7,,FALSE,Ex Ed Days
"Wed 10/18/2023 ",Oct,7,4,FALSE,
"Thu 10/19/2023 ",Oct,7,5,FALSE,
"Fri 10/20/2023 ",Oct,7,6,FALSE,
"Sat 10/21/2023 ",Oct,,,FALSE,
"Sun 10/22/2023 ",Oct,,,FALSE,
"Mon 10/23/2023 ",Oct,8,7,FALSE,
"Tue 10/24/2023 ",Oct,8,8,FALSE,
"Wed 10/25/2023 ",Oct,8,1,FALSE,
"Thu 10/26/2023 ",Oct,8,2,FALSE,
"Fri 10/27/2023 ",Oct,8,3,FALSE,
"Sat 10/28/2023 ",Oct,,,FALSE,
"Sun 10/29/2023 ",Oct,,,FALSE,
"Mon 10/30/2023 ",Oct,9,4,FALSE,
"Tue 10/31/2023 ",Oct,9,5,FALSE,
"Wed 11/1/2023 ",Nov,9,6,FALSE,
"Thu 11/2/2023 ",Nov,9,7,FALSE,
"Fri 11/3/2023 ",Nov,9,8,FALSE,
"Sat 11/4/2023 ",Nov,,,FALSE,
"Sun 11/5/2023 ",Nov,,,FALSE,
"Mon 11/6/2023 ",Nov,10,,TRUE,Report Writing Day
"Tue 11/7/2023 ",Nov,10,1,FALSE,
"Wed 11/8/2023 ",Nov,10,2,FALSE,
"Thu 11/9/2023 ",Nov,10,3,FALSE,
"Fri 11/10/2023 ",Nov,10,4,FALSE,
"Sat 11/11/2023 ",Nov,,,FALSE,
"Sun 11/12/2023 ",Nov,,,FALSE,
"Mon 11/13/2023 ",Nov,11,5,FALSE,
"Tue 11/14/2023 ",Nov,11,6,FALSE,
"Wed 11/15/2023 ",Nov,11,7,FALSE,
"Thu 11/16/2023 ",Nov,11,8,FALSE,
"Fri 11/17/2023 ",Nov,11,1,FALSE,
"Sat 11/18/2023 ",Nov,,,FALSE,
"Sun 11/19/2023 ",Nov,,,FALSE,
"Mon 11/20/2023 ",Nov,12,2,FALSE,
"Tue 11/21/2023 ",Nov,12,3,FALSE,
"Wed 11/22/2023 ",Nov,12,,TRUE,Thanksgiving Break - School Closed
"Thu 11/23/2023 ",Nov,12,,TRUE,Thanksgiving Break - School Closed
"Fri 11/24/2023 ",Nov,12,,TRUE,Thanksgiving Break - School Closed
"Sat 11/25/2023 ",Nov,,,FALSE,
"Sun 11/26/2023 ",Nov,,,FALSE,
"Mon 11/27/2023 ",Nov,13,4,FALSE,
"Tue 11/28/2023 ",Nov,13,5,FALSE,
"Wed 11/29/2023 ",Nov,13,6,FALSE,
"Thu 11/30/2023 ",Nov,13,7,FALSE,
"Fri 12/1/2023 ",Dec,13,8,FALSE,
"Sat 12/2/2023 ",Dec,,,FALSE,
"Sun 12/3/2023 ",Dec,,,FALSE,
"Mon 12/4/2023 ",Dec,14,,FALSE,NO MS/US Classes - Faculty Professional Day
"Tue 12/5/2023 ",Dec,14,1,FALSE,
"Wed 12/6/2023 ",Dec,14,2,FALSE,
"Thu 12/7/2023 ",Dec,14,3,FALSE,
"Fri 12/8/2023 ",Dec,14,4,FALSE,
"Sat 12/9/2023 ",Dec,,,FALSE,
"Sun 12/10/2023 ",Dec,,,FALSE,
"Mon 12/11/2023 ",Dec,15,5,FALSE,
"Tue 12/12/2023 ",Dec,15,6,FALSE,
"Wed 12/13/2023 ",Dec,15,7,FALSE,
"Thu 12/14/2023 ",Dec,15,8,FALSE,
"Fri 12/15/2023 ",Dec,15,1,FALSE,
"Sat 12/16/2023 ",Dec,,,FALSE,
"Sun 12/17/2023 ",Dec,,,FALSE,
"Mon 12/18/2023 ",Dec,16,2,FALSE,
"Tue 12/19/2023 ",Dec,16,3,FALSE,
"Wed 12/20/2023 ",Dec,16,4,FALSE,
"Thu 12/21/2023 ",Dec,16,5,FALSE,
"Fri 12/22/2023 ",Dec,16,6,FALSE,
"Sat 12/23/2023 ",Dec,,,FALSE,
"Sun 12/24/2023 ",Dec,,,FALSE,
"Mon 12/25/2023 ",Dec,,,TRUE,Winter Break - School Closed
"Tue 12/26/2023 ",Dec,,,TRUE,Winter Break - School Closed
"Wed 12/27/2023 ",Dec,,,TRUE,Winter Break - School Closed
"Thu 12/28/2023 ",Dec,,,TRUE,Winter Break - School Closed
"Fri 12/29/2023 ",Dec,,,TRUE,Winter Break - School Closed
"Sat 12/30/2023 ",Dec,,,TRUE,Winter Break - School Closed
"Sun 12/31/2023 ",Dec,,,TRUE,Winter Break - School Closed
"Mon 1/1/2024 ",Jan,,,TRUE,Winter Break - School Closed
"Tue 1/2/2024 ",Jan,,,TRUE,Winter Break - School Closed
"Wed 1/3/2024 ",Jan,,,TRUE,Winter Break - School Closed
"Thu 1/4/2024 ",Jan,,,TRUE,Winter Break - School Closed
"Fri 1/5/2024 ",Jan,,,TRUE,Winter Break - School Closed
"Sat 1/6/2024 ",Jan,,,TRUE,Winter Break - School Closed
"Sun 1/7/2024 ",Jan,,,TRUE,Winter Break - School Closed
"Mon 1/8/2024 ",Jan,17,7,FALSE,
"Tue 1/9/2024 ",Jan,17,8,FALSE,
"Wed 1/10/2024 ",Jan,17,1,FALSE,
"Thu 1/11/2024 ",Jan,17,2,FALSE,
"Fri 1/12/2024 ",Jan,17,3,FALSE,
"Sat 1/13/2024 ",Jan,,,FALSE,
"Sun 1/14/2024 ",Jan,,,FALSE,
"Mon 1/15/2024 ",Jan,18,,TRUE,Martin Luther King Jr. Day - School Closed
"Tue 1/16/2024 ",Jan,18,4,FALSE,
"Wed 1/17/2024 ",Jan,18,5,FALSE,
"Thu 1/18/2024 ",Jan,18,6,FALSE,
"Fri 1/19/2024 ",Jan,18,7,FALSE,
"Sat 1/20/2024 ",Jan,,,FALSE,
"Sun 1/21/2024 ",Jan,,,FALSE,
"Mon 1/22/2024 ",Jan,19,8,FALSE,
"Tue 1/23/2024 ",Jan,19,1,FALSE,
"Wed 1/24/2024 ",Jan,19,2,FALSE,
"Thu 1/25/2024 ",Jan,19,3,FALSE,
"Fri 1/26/2024 ",Jan,19,4,FALSE,
"Sat 1/27/2024 ",Jan,,,FALSE,
"Sun 1/28/2024 ",Jan,,,FALSE,
"Mon 1/29/2024 ",Jan,20,5,FALSE,
"Tue 1/30/2024 ",Jan,20,6,FALSE,
"Wed 1/31/2024 ",Jan,20,7,FALSE,
"Thu 2/1/2024 ",Feb,20,8,FALSE,
"Fri 2/2/2024 ",Feb,20,1,FALSE,
"Sat 2/3/2024 ",Feb,,,FALSE,
"Sun 2/4/2024 ",Feb,,,FALSE,
"Mon 2/5/2024 ",Feb,21,2,FALSE,
"Tue 2/6/2024 ",Feb,21,3,FALSE,
"Wed 2/7/2024 ",Feb,21,4,FALSE,
"Thu 2/8/2024 ",Feb,21,5,FALSE,
"Fri 2/9/2024 ",Feb,21,6,FALSE,
"Sat 2/10/2024 ",Feb,,,FALSE,
"Sun 2/11/2024 ",Feb,,,FALSE,
"Mon 2/12/2024 ",Feb,22,7,FALSE,
"Tue 2/13/2024 ",Feb,22,8,FALSE,
"Wed 2/14/2024 ",Feb,22,1,FALSE,
"Thu 2/15/2024 ",Feb,22,2,FALSE,
"Fri 2/16/2024 ",Feb,22,3,FALSE,
"Sat 2/17/2024 ",Feb,,,FALSE,
"Sun 2/18/2024 ",Feb,,,FALSE,
"Mon 2/19/2024 ",Feb,23,,TRUE,Presidents Day - School Closed
"Tue 2/20/2024 ",Feb,23,,FALSE,No MS/US Classes - Faculty Professional Day
"Wed 2/21/2024 ",Feb,23,4,FALSE,
"Thu 2/22/2024 ",Feb,23,5,FALSE,
"Fri 2/23/2024 ",Feb,23,6,FALSE,
"Sat 2/24/2024 ",Feb,,,FALSE,
"Sun 2/25/2024 ",Feb,,,FALSE,
"Mon 2/26/2024 ",Feb,24,7,FALSE,
"Tue 2/27/2024 ",Feb,24,8,FALSE,
"Wed 2/28/2024 ",Feb,24,1,FALSE,
"Thu 2/29/2024 ",Feb,24,2,FALSE,
"Fri 3/1/2024 ",Mar,24,3,FALSE,
"Sat 3/2/2024 ",Mar,,,FALSE,
"Sun 3/3/2024 ",Mar,,,FALSE,
"Mon 3/4/2024 ",Mar,25,4,FALSE,
"Tue 3/5/2024 ",Mar,25,5,FALSE,
"Wed 3/6/2024 ",Mar,25,6,FALSE,
"Thu 3/7/2024 ",Mar,25,7,FALSE,
"Fri 3/8/2024 ",Mar,25,8,FALSE,
"Sat 3/9/2024 ",Mar,,,FALSE,
"Sun 3/10/2024 ",Mar,,,FALSE,
"Mon 3/11/2024 ",Mar,26,,FALSE,US Exams / MS Project Week
"Tue 3/12/2024 ",Mar,26,,FALSE,US Exams / MS Project Week
"Wed 3/13/2024 ",Mar,26,,FALSE,US Exams / MS Project Week
"Thu 3/14/2024 ",Mar,26,,FALSE,US Exams / MS Project Week
"Fri 3/15/2024 ",Mar,26,,FALSE,US Exams / MS Project Week
"Sat 3/16/2024 ",Mar,,,FALSE,
"Sun 3/17/2024 ",Mar,,,FALSE,
"Mon 3/18/2024 ",Mar,,,TRUE,Spring Break - Offices Open
"Tue 3/19/2024 ",Mar,,,TRUE,Spring Break - Offices Open
"Wed 3/20/2024 ",Mar,,,TRUE,Spring Break - Offices Open
"Thu 3/21/2024 ",Mar,,,TRUE,Spring Break - Offices Open
"Fri 3/22/2024 ",Mar,,,TRUE,Spring Break - Offices Open
"Sat 3/23/2024 ",Mar,,,FALSE,Spring Break
"Sun 3/24/2024 ",Mar,,,FALSE,Spring Break
"Mon 3/25/2024 ",Mar,,,TRUE,Spring Break
"Tue 3/26/2024 ",Mar,,,TRUE,Spring Break
"Wed 3/27/2024 ",Mar,,,TRUE,Spring Break
"Thu 3/28/2024 ",Mar,,,TRUE,Spring Break
"Fri 3/29/2024 ",Mar,,,TRUE,Spring Break
"Sat 3/30/2024 ",Mar,,,FALSE,Spring Break
"Sun 3/31/2024 ",Mar,,,FALSE,Spring Break
"Mon 4/1/2024 ",Apr,27,1,FALSE,
"Tue 4/2/2024 ",Apr,27,2,FALSE,
"Wed 4/3/2024 ",Apr,27,3,FALSE,
"Thu 4/4/2024 ",Apr,27,4,FALSE,
"Fri 4/5/2024 ",Apr,27,,TRUE,Report Writing Day
"Sat 4/6/2024 ",Apr,,,FALSE,
"Sun 4/7/2024 ",Apr,,,FALSE,
"Mon 4/8/2024 ",Apr,28,5,FALSE,
"Tue 4/9/2024 ",Apr,28,6,FALSE,
"Wed 4/10/2024 ",Apr,28,,TRUE,Eid al-Fitr - School Closed
